title,type,location,website_url,pct_positive_overall_experience,pct_positive_skills_development,pct_found_full_time_employment
Academies Australasia Polytechnic,Non-University,VIC,https://aapoly.edu.au/,81.1,86.7,
Academy of Interactive Technology,Non-University,NSW;VIC,https://ait.edu.au/,69.7,76.0,60.6
ACAP University College,Non-University,NSW;VIC;QLD;WA;SA,https://www.acap.edu.au/,82.3,85.3,72.6
Acknowledge Education,Non-University,NSW;VIC;WA,http://www.acknowledgeeducation.edu.au,73.7,88.8,
Adelaide Central School of Art,Non-University,SA,http://www.acsa.sa.edu.au/home/,92.0,90.0,-1.0
Adelaide Institute of Higher Education,Non-University,SA,https://aihe.sa.edu.au/,-1.0,-1.0,
Adelaide University,University,SA,https://adelaide.edu.au/,77.4,82.0,77.6
AIE Institute,University,ACT,https://aieinstitute.edu.au/,65.5,86.2,
Alphacrucis University College,Non-University,NSW;QLD;WA,http://ac.edu.au/,83.8,83.8,80.0
Asia Pacific International College,Non-University,NSW,https://apicollege.edu.au/,77.5,85.3,
Australasian College of Health and Wellness,Non-University,NSW,https://www.achw.edu.au/,79.2,74.9,75.0
Australian Academy of Music and Performing Arts,Non-University,NSW,http://www.ampa.edu.au/,69.0,76.1,-1.0
Australian Catholic University,University,NSW;VIC;QLD;ACT;SA,http://www.acu.edu.au,79.1,83.4,81.0
Australian Chiropractic College,Non-University,SA,https://acc.sa.edu.au/,93.8,93.0,-1.0
Australian College of Christian Studies,Non-University,NSW,http://www.ccs.edu.au/,93.8,90.6,-1.0
Australian Data and Cyber Institute,University,WA,https://adci.edu.au/,-1.0,-1.0,
Australian Guild of Music Education,Non-University,VIC,https://www.guildmusic.edu.au/,-1.0,-1.0,-1.0
Australian Institute of Higher Education,Non-University,NSW,https://aih.nsw.edu.au/,79.1,84.4,
Australian Institute of Professional Counsellors,Non-University,QLD;NSW;VIC,http://www.aipc.net.au/,78.6,76.9,-1.0
Australian Performing Arts Conservatory,Non-University,QLD,https://apac.edu.au/,-1.0,-1.0,-1.0
Australian School of Accounting,Non-University,,http://www.asahe.com.au/,86.3,88.4,
Australian University College of Divinity,Non-University,NSW,https://aucd.edu.au/,90.3,87.4,72.1
Australian University of Theology,University,NSW;QLD;SA;VIC;WA,https://aut.edu.au/,95.1,90.7,81.4
Avondale University,University,NSW,https://www.avondale.edu.au/,89.3,85.4,91.1
Bond University,University,QLD,http://www.bond.edu.au,87.3,91.0,74.1
Box Hill Institute,Non-University,SA,http://www.boxhill.edu.au/,83.5,83.1,51.2
BPP Institute,Non-University,VIC,https://cic.vic.edu.au/,79.6,87.0,
Campion College Australia,Non-University,NSW,http://www.campion.edu.au/,94.9,98.0,-1.0
Charles Darwin University,University,NT;VIC;NSW,http://www.cdu.edu.au/,72.5,76.0,85.2
Charles Sturt University,University,NSW;ACT;VIC,http://www.csu.edu.au,78.2,80.2,90.3
Chisholm Institute,Non-University,VIC,http://www.chisholm.edu.au/,86.3,89.9,-1.0
Christian Heritage College,Non-University,QLD,http://www.chc.edu.au/,92.1,88.7,81.1
Collarts (Australian College of the Arts),Non-University,VIC,https://collarts.edu.au/,87.4,87.0,44.9
CQUniversity Australia,University,QLD;VIC;NSW,http://www.cqu.edu.au/,78.6,81.3,85.3
Crown Institute of Higher Education,Non-University,NSW,https://www.cihe.edu.au/,64.8,72.0,
